model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-28 01:26:04,89.9642,Optical Recognition of Handwritten Digits,Linear,,,0.9723
DWN,2025-01-28 01:26:32,90.0522,Optical Recognition of Handwritten Digits,Linear,,,0.9683
DWN,2025-01-28 01:27:34,90.0931,Optical Recognition of Handwritten Digits,Linear,,,0.9764
DWN,2025-01-28 01:28:02,90.0683,Optical Recognition of Handwritten Digits,Linear,,,0.9687
DWN,2025-01-28 01:29:04,90.1525,Optical Recognition of Handwritten Digits,Linear,,,0.9766
DWN,2025-01-28 01:29:32,90.0604,Optical Recognition of Handwritten Digits,Linear,,,0.9751
DWN,2025-01-28 01:30:34,90.0164,Optical Recognition of Handwritten Digits,Linear,,,0.9792
DWN,2025-01-28 01:31:02,90.0522,Optical Recognition of Handwritten Digits,Linear,,,0.9766
DWN,2025-01-28 01:32:04,89.9760,Optical Recognition of Handwritten Digits,Linear,,,0.9792
DWN,2025-01-28 01:32:32,89.9758,Optical Recognition of Handwritten Digits,Linear,,,0.9773
DWN,2025-01-28 01:33:34,89.9821,Optical Recognition of Handwritten Digits,Linear,,,0.9791
DWN,2025-01-28 01:34:02,89.9163,Optical Recognition of Handwritten Digits,Linear,,,0.9784
DWN,2025-01-28 01:35:04,89.9690,Optical Recognition of Handwritten Digits,Linear,,,0.9777
DWN,2025-01-28 01:35:32,89.9920,Optical Recognition of Handwritten Digits,Linear,,,0.9794
DWN,2025-01-28 01:36:34,89.9551,Optical Recognition of Handwritten Digits,Linear,,,0.9802
DWN,2025-01-28 01:36:48,76.6240,Optical Recognition of Handwritten Digits,Linear,,,0.9811
DWN,2025-01-28 01:36:57,0.1296,Ecoli,Distributive,,,0.8800
DWN,2025-01-28 01:36:57,0.1294,Ecoli,Distributive,,,0.9400
DWN,2025-01-28 01:36:57,0.2913,Ecoli,Distributive,,,0.7838
DWN,2025-01-28 01:36:57,0.1096,Ecoli,Distributive,,,0.9400
DWN,2025-01-28 01:36:57,0.1115,Ecoli,Distributive,,,0.9600
DWN,2025-01-28 01:36:57,0.2275,Ecoli,Distributive,,,0.8018
DWN,2025-01-28 01:36:57,0.1106,Ecoli,Distributive,,,0.9600
DWN,2025-01-28 01:36:57,0.1143,Ecoli,Distributive,,,0.9200
DWN,2025-01-28 01:36:57,0.2526,Ecoli,Distributive,,,0.8018
DWN,2025-01-28 01:36:57,0.1113,Ecoli,Distributive,,,0.9600
DWN,2025-01-28 01:36:58,0.1123,Ecoli,Distributive,,,0.9200
DWN,2025-01-28 01:36:58,0.2419,Ecoli,Distributive,,,0.8108
DWN,2025-01-28 01:36:58,0.1117,Ecoli,Distributive,,,0.9200
DWN,2025-01-28 01:36:58,0.1135,Ecoli,Distributive,,,0.9800
DWN,2025-01-28 01:36:58,0.2500,Ecoli,Distributive,,,0.8108
DWN,2025-01-28 01:36:58,0.1128,Ecoli,Gaussian,,,0.9200
DWN,2025-01-28 01:36:58,0.1147,Ecoli,Gaussian,,,0.8800
DWN,2025-01-28 01:36:58,0.2306,Ecoli,Distributive,,,0.8468
DWN,2025-01-28 01:36:58,0.1145,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:58,0.1122,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:58,0.2531,Ecoli,Distributive,,,0.8919
DWN,2025-01-28 01:36:59,0.1113,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.2255,Ecoli,Distributive,,,0.8108
DWN,2025-01-28 01:36:59,0.1139,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.1163,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.2431,Ecoli,Distributive,,,0.8108
DWN,2025-01-28 01:36:59,0.1152,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.1136,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.2245,Ecoli,Distributive,,,0.7658
DWN,2025-01-28 01:36:59,0.1147,Ecoli,Gaussian,,,0.9800
DWN,2025-01-28 01:36:59,0.1134,Ecoli,Linear,,,0.8200
DWN,2025-01-28 01:36:59,0.2260,Ecoli,Gaussian,,,0.7928
DWN,2025-01-28 01:37:00,0.1147,Ecoli,Linear,,,1.0000
DWN,2025-01-28 01:37:00,0.2292,Ecoli,Gaussian,,,0.7928
DWN,2025-01-28 01:37:00,0.1142,Ecoli,Linear,,,1.0000
DWN,2025-01-28 01:37:00,0.1135,Ecoli,Linear,,,1.0000
DWN,2025-01-28 01:37:00,0.2760,Ecoli,Gaussian,,,0.8018
DWN,2025-01-28 01:37:00,0.1141,Ecoli,Linear,,,1.0000
DWN,2025-01-28 01:37:00,0.1147,Ecoli,Linear,,,0.9800
DWN,2025-01-28 01:37:00,0.2497,Ecoli,Gaussian,,,0.8198
DWN,2025-01-28 01:37:00,0.1152,Ecoli,Linear,,,0.9600
DWN,2025-01-28 01:37:00,0.1164,Ecoli,Linear,,,0.9600
DWN,2025-01-28 01:37:01,0.2264,Ecoli,Gaussian,,,0.8288
DWN,2025-01-28 01:37:01,0.1174,Ecoli,Linear,,,0.9400
DWN,2025-01-28 01:37:01,0.1130,Ecoli,Linear,,,0.9600
DWN,2025-01-28 01:37:01,0.2252,Ecoli,Gaussian,,,0.8288
DWN,2025-01-28 01:37:01,0.1147,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:01,0.1143,Ecoli,Scatter Code,50,100,0.8600
DWN,2025-01-28 01:37:01,0.3036,Ecoli,Gaussian,,,0.8198
DWN,2025-01-28 01:37:01,0.1212,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:01,0.2280,Ecoli,Gaussian,,,0.8018
DWN,2025-01-28 01:37:01,0.1167,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:02,0.1157,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:02,0.2479,Ecoli,Gaussian,,,0.8108
DWN,2025-01-28 01:37:02,0.1160,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:02,0.1158,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:02,0.2455,Ecoli,Gaussian,,,0.8018
DWN,2025-01-28 01:37:02,0.1173,Ecoli,Scatter Code,50,100,0.9800
DWN,2025-01-28 01:37:02,0.1152,Ecoli,Scatter Code,50,100,0.9600
DWN,2025-01-28 01:37:02,0.2282,Ecoli,Linear,,,0.7297
DWN,2025-01-28 01:37:02,0.1149,Ecoli,Scatter Code,50,100,0.9600
DWN,2025-01-28 01:37:02,0.2158,Ecoli,Linear,,,0.7658
DWN,2025-01-28 01:37:03,0.2183,Wine Quality,Linear,,,0.8108
DWN,2025-01-28 01:37:03,0.2215,Wine Quality,Linear,,,0.8649
DWN,2025-01-28 01:37:03,0.2448,Wine Quality,Linear,,,0.8468
DWN,2025-01-28 01:37:03,0.2259,Wine Quality,Linear,,,0.8108
DWN,2025-01-28 01:37:04,0.2222,Wine Quality,Linear,,,0.8108
DWN,2025-01-28 01:37:04,0.2429,Wine Quality,Linear,,,0.8198
DWN,2025-01-28 01:37:04,0.2218,Wine Quality,Linear,,,0.8198
DWN,2025-01-28 01:37:04,0.2193,Wine Quality,Linear,,,0.8468
DWN,2025-01-28 01:37:05,0.2615,Wine Quality,Scatter Code,50,100,0.8018
DWN,2025-01-28 01:37:05,0.2603,Wine Quality,Scatter Code,50,100,0.7838
DWN,2025-01-28 01:37:05,0.2603,Wine Quality,Scatter Code,50,100,0.8108
DWN,2025-01-28 01:37:06,0.2937,Wine Quality,Scatter Code,50,100,0.8378
DWN,2025-01-28 01:37:06,0.2660,Wine Quality,Scatter Code,50,100,0.8198
DWN,2025-01-28 01:37:06,0.2546,Wine Quality,Scatter Code,50,100,0.8559
DWN,2025-01-28 01:37:06,3.8572,Wine Quality,Distributive,,,0.4578
DWN,2025-01-28 01:37:06,0.2619,Wine Quality,Scatter Code,50,100,0.8378
DWN,2025-01-28 01:37:07,0.2625,Wine Quality,Scatter Code,50,100,0.8468
DWN,2025-01-28 01:37:07,0.2604,Wine Quality,Scatter Code,50,100,0.8378
DWN,2025-01-28 01:37:07,0.2580,Wine Quality,Scatter Code,50,100,0.8649
DWN,2025-01-28 01:37:10,3.7771,EEG Eye State,Distributive,,,0.5142
DWN,2025-01-28 01:37:14,3.9328,EEG Eye State,Distributive,,,0.4751
DWN,2025-01-28 01:37:17,9.1228,EEG Eye State,Distributive,,,0.7403
DWN,2025-01-28 01:37:18,3.8622,EEG Eye State,Distributive,,,0.4765
DWN,2025-01-28 01:37:22,3.8058,EEG Eye State,Distributive,,,0.4946
DWN,2025-01-28 01:37:26,3.8438,EEG Eye State,Distributive,,,0.4909
DWN,2025-01-28 01:37:26,9.0107,EEG Eye State,Distributive,,,0.7850
DWN,2025-01-28 01:37:30,3.7961,EEG Eye State,Distributive,,,0.5007
DWN,2025-01-28 01:37:33,3.7627,EEG Eye State,Distributive,,,0.4998
DWN,2025-01-28 01:37:35,8.9300,EEG Eye State,Distributive,,,0.8167
DWN,2025-01-28 01:37:37,3.8036,EEG Eye State,Distributive,,,0.5077
DWN,2025-01-28 01:37:41,3.7458,EEG Eye State,Distributive,,,0.5072
DWN,2025-01-28 01:37:44,8.8880,EEG Eye State,Distributive,,,0.8269
DWN,2025-01-28 01:37:45,3.7590,EEG Eye State,Gaussian,,,0.4704
DWN,2025-01-28 01:37:46,57.7818,Optical Recognition of Handwritten Digits,Linear,,,0.9815
DWN,2025-01-28 01:37:47,1.6991,EEG Eye State,Gaussian,,,0.4755
DWN,2025-01-28 01:37:47,0.5790,EEG Eye State,Gaussian,,,0.4774
DWN,2025-01-28 01:37:47,3.2240,EEG Eye State,Distributive,,,0.8321
DWN,2025-01-28 01:37:52,4.8708,EEG Eye State,Gaussian,,,0.4965
DWN,2025-01-28 01:37:53,0.5692,EEG Eye State,Gaussian,,,0.4900
DWN,2025-01-28 01:37:53,5.6096,EEG Eye State,Distributive,,,0.8337
DWN,2025-01-28 01:37:53,0.5451,EEG Eye State,Gaussian,,,0.4998
DWN,2025-01-28 01:37:54,0.0441,Iris,Distributive,,,0.9000
DWN,2025-01-28 01:37:54,0.0419,Iris,Distributive,,,0.9400
DWN,2025-01-28 01:37:54,0.0974,Iris,Distributive,,,0.8018
DWN,2025-01-28 01:37:54,0.0419,Iris,Distributive,,,0.9800
DWN,2025-01-28 01:37:54,0.7766,EEG Eye State,Gaussian,,,0.5026
DWN,2025-01-28 01:37:54,0.0395,Iris,Distributive,,,0.9400
DWN,2025-01-28 01:37:54,0.0868,Iris,Distributive,,,0.8018
DWN,2025-01-28 01:37:54,0.0344,Iris,Distributive,,,0.9400
DWN,2025-01-28 01:37:54,0.0386,Iris,Distributive,,,0.9200
DWN,2025-01-28 01:37:54,0.1013,Iris,Distributive,,,0.8018
DWN,2025-01-28 01:37:54,0.0401,Iris,Distributive,,,0.9400
DWN,2025-01-28 01:37:54,0.0371,Iris,Distributive,,,0.9600
DWN,2025-01-28 01:37:54,0.0746,Iris,Distributive,,,0.7838
DWN,2025-01-28 01:37:54,0.0361,Iris,Distributive,,,0.9600
DWN,2025-01-28 01:37:54,0.0392,Iris,Distributive,,,0.9600
DWN,2025-01-28 01:37:54,0.0813,Iris,Distributive,,,0.8288
DWN,2025-01-28 01:37:54,0.0394,Iris,Gaussian,,,0.9200
DWN,2025-01-28 01:37:54,0.0354,Iris,Gaussian,,,1.0000
DWN,2025-01-28 01:37:54,0.0813,Iris,Distributive,,,0.8108
DWN,2025-01-28 01:37:54,0.0462,Iris,Gaussian,,,0.9400
DWN,2025-01-28 01:37:54,0.0463,Iris,Gaussian,,,0.9400
DWN,2025-01-28 01:37:54,0.0906,Iris,Distributive,,,0.8108
DWN,2025-01-28 01:37:54,0.0437,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:54,0.0443,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:55,0.0867,Iris,Distributive,,,0.8378
DWN,2025-01-28 01:37:55,1.7633,EEG Eye State,Distributive,,,0.8501
DWN,2025-01-28 01:37:55,0.0528,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:55,0.0933,Iris,Distributive,,,0.8288
DWN,2025-01-28 01:37:55,0.0507,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:55,0.0373,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:55,0.0864,Iris,Distributive,,,0.8198
DWN,2025-01-28 01:37:55,0.0439,Iris,Gaussian,,,0.9800
DWN,2025-01-28 01:37:55,0.0413,Iris,Linear,,,0.8800
DWN,2025-01-28 01:37:55,0.0347,Iris,Linear,,,0.9200
DWN,2025-01-28 01:37:55,0.0947,Iris,Gaussian,,,0.7838
DWN,2025-01-28 01:37:55,0.0384,Iris,Linear,,,0.9600
DWN,2025-01-28 01:37:55,0.0321,Iris,Linear,,,0.9200
DWN,2025-01-28 01:37:55,0.0982,Iris,Gaussian,,,0.8288
DWN,2025-01-28 01:37:55,0.0473,Iris,Linear,,,0.9000
DWN,2025-01-28 01:37:55,0.0374,Iris,Linear,,,0.9200
DWN,2025-01-28 01:37:55,0.0864,Iris,Gaussian,,,0.8378
DWN,2025-01-28 01:37:55,0.0364,Iris,Linear,,,0.9400
DWN,2025-01-28 01:37:55,1.1298,EEG Eye State,Gaussian,,,0.5096
DWN,2025-01-28 01:37:55,0.0372,Iris,Linear,,,0.9400
DWN,2025-01-28 01:37:55,0.0857,Iris,Gaussian,,,0.8108
DWN,2025-01-28 01:37:55,0.0466,Iris,Linear,,,0.9400
DWN,2025-01-28 01:37:55,0.0402,Iris,Linear,,,0.9400
DWN,2025-01-28 01:37:55,0.0775,Iris,Gaussian,,,0.8288
DWN,2025-01-28 01:37:55,0.0564,Iris,Scatter Code,50,200,0.8600
DWN,2025-01-28 01:37:55,0.1510,Iris,Gaussian,,,0.7838
DWN,2025-01-28 01:37:55,0.0528,Iris,Scatter Code,50,200,0.8800
DWN,2025-01-28 01:37:55,0.0501,Iris,Scatter Code,50,200,1.0000
DWN,2025-01-28 01:37:55,0.0950,Iris,Gaussian,,,0.8559
DWN,2025-01-28 01:37:55,0.0493,Iris,Scatter Code,50,200,0.9600
DWN,2025-01-28 01:37:56,0.0564,Iris,Scatter Code,50,200,1.0000
DWN,2025-01-28 01:37:56,0.1033,Iris,Gaussian,,,0.8288
DWN,2025-01-28 01:37:56,0.0483,Iris,Scatter Code,50,200,0.9800
DWN,2025-01-28 01:37:56,0.0493,Iris,Scatter Code,50,200,0.9800
DWN,2025-01-28 01:37:56,0.1131,Iris,Gaussian,,,0.8288
DWN,2025-01-28 01:37:56,0.0461,Iris,Scatter Code,50,200,0.9800
DWN,2025-01-28 01:37:56,0.0471,Iris,Scatter Code,50,200,0.9800
DWN,2025-01-28 01:37:56,0.0953,Iris,Gaussian,,,0.8378
DWN,2025-01-28 01:37:56,0.0456,Iris,Scatter Code,50,200,0.9800
DWN,2025-01-28 01:37:56,0.0665,Iris,Linear,,,0.7387
DWN,2025-01-28 01:37:56,0.0523,Iris,Linear,,,0.8198
DWN,2025-01-28 01:37:56,0.0478,Iris,Linear,,,0.8288
DWN,2025-01-28 01:37:56,0.0516,Iris,Linear,,,0.8288
DWN,2025-01-28 01:37:56,1.0633,EEG Eye State,Gaussian,,,0.5030
DWN,2025-01-28 01:37:56,0.0817,Wine Quality,Linear,,,0.8378
DWN,2025-01-28 01:37:56,0.0712,Wine Quality,Linear,,,0.8198
DWN,2025-01-28 01:37:56,0.0713,Wine Quality,Linear,,,0.8649
DWN,2025-01-28 01:37:56,0.0766,Wine Quality,Linear,,,0.8018
DWN,2025-01-28 01:37:56,0.0903,Wine Quality,Linear,,,0.8559
DWN,2025-01-28 01:37:57,0.0929,Wine Quality,Linear,,,0.8288
DWN,2025-01-28 01:37:57,0.9700,EEG Eye State,Gaussian,,,0.5133
DWN,2025-01-28 01:37:57,1.0891,EEG Eye State,Distributive,,,0.4751
DWN,2025-01-28 01:37:58,1.0348,MAGIC Gamma Telescope,Linear,,,0.4457
DWN,2025-01-28 01:37:58,1.2797,EEG Eye State,Distributive,,,0.4755
DWN,2025-01-28 01:37:59,1.1178,MAGIC Gamma Telescope,Linear,,,0.4186
DWN,2025-01-28 01:38:00,1.3200,EEG Eye State,Distributive,,,0.4867
DWN,2025-01-28 01:38:00,1.0763,MAGIC Gamma Telescope,Linear,,,0.4205
DWN,2025-01-28 01:38:01,1.1318,MAGIC Gamma Telescope,Distributive,,,0.4858
DWN,2025-01-28 01:38:01,0.1547,Statlog (Vehicle Silhouettes),Distributive,,,0.6250
DWN,2025-01-28 01:38:01,0.1525,Statlog (Vehicle Silhouettes),Distributive,,,0.6607
DWN,2025-01-28 01:38:01,0.1582,Statlog (Vehicle Silhouettes),Distributive,,,0.6821
DWN,2025-01-28 01:38:01,1.0050,Statlog (Vehicle Silhouettes),Linear,,,0.4429
DWN,2025-01-28 01:38:01,0.1405,Statlog (Vehicle Silhouettes),Distributive,,,0.7214
DWN,2025-01-28 01:38:02,0.1501,Statlog (Vehicle Silhouettes),Distributive,,,0.7179
DWN,2025-01-28 01:38:02,0.1532,Statlog (Vehicle Silhouettes),Distributive,,,0.7143
DWN,2025-01-28 01:38:02,0.1499,Statlog (Vehicle Silhouettes),Distributive,,,0.7286
DWN,2025-01-28 01:38:02,0.1588,Statlog (Vehicle Silhouettes),Distributive,,,0.7250
DWN,2025-01-28 01:38:02,1.2457,MAGIC Gamma Telescope,Distributive,,,0.4984
DWN,2025-01-28 01:38:02,0.1561,Statlog (Vehicle Silhouettes),Distributive,,,0.7250
DWN,2025-01-28 01:38:02,0.1476,Statlog (Vehicle Silhouettes),Distributive,,,0.7321
DWN,2025-01-28 01:38:03,1.1064,Statlog (Vehicle Silhouettes),Linear,,,0.4662
DWN,2025-01-28 01:38:03,0.1591,Statlog (Vehicle Silhouettes),Gaussian,,,0.6571
DWN,2025-01-28 01:38:03,0.1431,Statlog (Vehicle Silhouettes),Gaussian,,,0.6786
DWN,2025-01-28 01:38:03,0.1364,Statlog (Vehicle Silhouettes),Gaussian,,,0.6893
DWN,2025-01-28 01:38:03,0.1504,Statlog (Vehicle Silhouettes),Gaussian,,,0.6821
DWN,2025-01-28 01:38:03,0.1496,Statlog (Vehicle Silhouettes),Gaussian,,,0.7143
DWN,2025-01-28 01:38:03,0.1538,Statlog (Vehicle Silhouettes),Gaussian,,,0.7500
DWN,2025-01-28 01:38:03,1.2462,MAGIC Gamma Telescope,Distributive,,,0.4797
DWN,2025-01-28 01:38:04,0.1403,Statlog (Vehicle Silhouettes),Gaussian,,,0.7429
DWN,2025-01-28 01:38:04,1.1103,Statlog (Vehicle Silhouettes),Linear,,,0.4900
DWN,2025-01-28 01:38:04,0.1538,Statlog (Vehicle Silhouettes),Gaussian,,,0.7357
DWN,2025-01-28 01:38:04,0.1379,Statlog (Vehicle Silhouettes),Gaussian,,,0.7536
DWN,2025-01-28 01:38:04,0.1476,Statlog (Vehicle Silhouettes),Gaussian,,,0.7571
DWN,2025-01-28 01:38:04,0.1533,Statlog (Vehicle Silhouettes),Linear,,,0.6250
DWN,2025-01-28 01:38:04,0.1682,Statlog (Vehicle Silhouettes),Linear,,,0.6536
DWN,2025-01-28 01:38:05,0.1505,Statlog (Vehicle Silhouettes),Linear,,,0.6536
DWN,2025-01-28 01:38:05,1.2020,MAGIC Gamma Telescope,Distributive,,,0.5082
DWN,2025-01-28 01:38:05,0.1584,Statlog (Vehicle Silhouettes),Linear,,,0.6607
DWN,2025-01-28 01:38:05,1.1504,Statlog (Vehicle Silhouettes),Linear,,,0.4517
DWN,2025-01-28 01:38:05,0.1649,Statlog (Vehicle Silhouettes),Linear,,,0.6821
DWN,2025-01-28 01:38:05,0.1505,Statlog (Vehicle Silhouettes),Linear,,,0.7000
DWN,2025-01-28 01:38:05,0.1492,Statlog (Vehicle Silhouettes),Linear,,,0.7000
DWN,2025-01-28 01:38:05,0.1199,Statlog (Vehicle Silhouettes),Linear,,,0.7036
DWN,2025-01-28 01:38:05,0.1338,Statlog (Vehicle Silhouettes),Linear,,,0.6750
DWN,2025-01-28 01:38:06,0.1693,Statlog (Vehicle Silhouettes),Linear,,,0.6786
DWN,2025-01-28 01:38:06,0.1769,Statlog (Vehicle Silhouettes),Distributive,,,0.6786
DWN,2025-01-28 01:38:06,1.0700,Statlog (Vehicle Silhouettes),Distributive,,,0.5096
DWN,2025-01-28 01:38:06,0.9716,Statlog (Vehicle Silhouettes),Linear,,,0.4751
DWN,2025-01-28 01:38:06,0.3279,Statlog (Vehicle Silhouettes),Distributive,,,0.6893
DWN,2025-01-28 01:38:06,0.1477,Statlog (Vehicle Silhouettes),Distributive,,,0.7214
DWN,2025-01-28 01:38:06,0.2040,Maternal Health Risk,Distributive,,,0.6627
DWN,2025-01-28 01:38:06,0.1776,Statlog (Vehicle Silhouettes),Distributive,,,0.7500
DWN,2025-01-28 01:38:06,0.1883,Maternal Health Risk,Distributive,,,0.6567
DWN,2025-01-28 01:38:07,0.2070,Statlog (Vehicle Silhouettes),Distributive,,,0.7000
DWN,2025-01-28 01:38:07,0.1959,Maternal Health Risk,Distributive,,,0.6239
DWN,2025-01-28 01:38:07,0.1657,Statlog (Vehicle Silhouettes),Distributive,,,0.6929
DWN,2025-01-28 01:38:07,0.1897,Maternal Health Risk,Distributive,,,0.7134
DWN,2025-01-28 01:38:07,0.2121,Statlog (Vehicle Silhouettes),Distributive,,,0.7107
DWN,2025-01-28 01:38:07,0.1239,Maternal Health Risk,Distributive,,,0.6687
DWN,2025-01-28 01:38:07,0.0943,Statlog (Vehicle Silhouettes),Distributive,,,0.7214
DWN,2025-01-28 01:38:07,0.1022,Statlog (Vehicle Silhouettes),Distributive,,,0.7500
DWN,2025-01-28 01:38:07,0.0368,Glass Identification,Distributive,,,0.5634
DWN,2025-01-28 01:38:07,0.1251,Glass Identification,Distributive,,,0.7015
DWN,2025-01-28 01:38:07,0.0345,Glass Identification,Distributive,,,0.7183
DWN,2025-01-28 01:38:07,0.0418,Glass Identification,Distributive,,,0.6479
DWN,2025-01-28 01:38:07,0.0460,Glass Identification,Distributive,,,0.7465
DWN,2025-01-28 01:38:07,0.1729,Maternal Health Risk,Distributive,,,0.7500
DWN,2025-01-28 01:38:07,0.0369,Glass Identification,Distributive,,,0.7324
DWN,2025-01-28 01:38:07,0.1897,Glass Identification,Distributive,,,0.6776
DWN,2025-01-28 01:38:07,0.0371,Glass Identification,Distributive,,,0.6901
DWN,2025-01-28 01:38:07,0.0390,Glass Identification,Distributive,,,0.6901
DWN,2025-01-28 01:38:07,0.1941,Maternal Health Risk,Distributive,,,0.6537
DWN,2025-01-28 01:38:07,0.0422,Glass Identification,Distributive,,,0.6901
DWN,2025-01-28 01:38:08,0.0413,Glass Identification,Distributive,,,0.6901
DWN,2025-01-28 01:38:08,0.0408,Glass Identification,Distributive,,,0.6620
DWN,2025-01-28 01:38:08,0.1920,Maternal Health Risk,Gaussian,,,0.5786
DWN,2025-01-28 01:38:08,0.2005,Glass Identification,Distributive,,,0.6896
DWN,2025-01-28 01:38:08,0.0383,Glass Identification,Gaussian,,,0.6620
DWN,2025-01-28 01:38:08,0.0376,Glass Identification,Gaussian,,,0.6338
DWN,2025-01-28 01:38:08,0.2033,Maternal Health Risk,Distributive,,,0.6507
DWN,2025-01-28 01:38:08,0.0371,Glass Identification,Gaussian,,,0.6761
DWN,2025-01-28 01:38:08,0.1685,Glass Identification,Distributive,,,0.7373
DWN,2025-01-28 01:38:08,0.1906,Maternal Health Risk,Gaussian,,,0.6286
DWN,2025-01-28 01:38:08,0.0498,Glass Identification,Gaussian,,,0.7324
DWN,2025-01-28 01:38:08,0.0398,Glass Identification,Gaussian,,,0.7183
DWN,2025-01-28 01:38:08,0.0366,Glass Identification,Gaussian,,,0.6761
DWN,2025-01-28 01:38:08,0.2015,Maternal Health Risk,Distributive,,,0.6955
DWN,2025-01-28 01:38:08,0.0469,Glass Identification,Gaussian,,,0.7324
DWN,2025-01-28 01:38:08,0.1959,Glass Identification,Distributive,,,0.7045
DWN,2025-01-28 01:38:08,0.0417,Glass Identification,Gaussian,,,0.7042
DWN,2025-01-28 01:38:08,0.2288,Maternal Health Risk,Gaussian,,,0.6393
DWN,2025-01-28 01:38:08,0.0434,Glass Identification,Gaussian,,,0.6901
DWN,2025-01-28 01:38:08,0.0474,Glass Identification,Gaussian,,,0.6761
DWN,2025-01-28 01:38:08,0.1936,Maternal Health Risk,Distributive,,,0.6746
DWN,2025-01-28 01:38:08,0.0474,Glass Identification,Linear,,,0.6197
DWN,2025-01-28 01:38:08,0.1658,Maternal Health Risk,Gaussian,,,0.7143
DWN,2025-01-28 01:38:08,0.2014,Glass Identification,Gaussian,,,0.6149
DWN,2025-01-28 01:38:08,0.0485,Glass Identification,Linear,,,0.5915
DWN,2025-01-28 01:38:08,0.0489,Glass Identification,Linear,,,0.6197
DWN,2025-01-28 01:38:08,0.2064,Maternal Health Risk,Distributive,,,0.7254
DWN,2025-01-28 01:38:08,0.0519,Glass Identification,Linear,,,0.5775
DWN,2025-01-28 01:38:08,0.1749,Maternal Health Risk,Gaussian,,,0.7036
DWN,2025-01-28 01:38:08,0.0398,Glass Identification,Linear,,,0.5915
DWN,2025-01-28 01:38:08,0.2018,Glass Identification,Gaussian,,,0.6776
DWN,2025-01-28 01:38:08,0.0466,Glass Identification,Linear,,,0.6056
DWN,2025-01-28 01:38:08,0.0443,Glass Identification,Linear,,,0.6620
DWN,2025-01-28 01:38:08,0.2056,Maternal Health Risk,Distributive,,,0.7224
DWN,2025-01-28 01:38:09,0.0410,Glass Identification,Linear,,,0.6479
DWN,2025-01-28 01:38:09,0.1925,Maternal Health Risk,Gaussian,,,0.7357
DWN,2025-01-28 01:38:09,0.0409,Glass IdentifiDWN,2025-01-28 01:38:09,0.1803,Glass Identification,Gaussian,,,0.6478
DWN,2025-01-28 01:38:09,0.0373,Glass Identification,Linear,,,0.6479
DWN,2025-01-28 01:38:09,0.1704,Maternal Health Risk,Distributive,,,0.7104
DWN,2025-01-28 01:38:09,0.1441,Maternal Health Risk,Gaussian,,,0.7786
DWN,2025-01-28 01:38:09,0.1355,Glass Identification,Gaussian,,,0.6627
DWN,2025-01-28 01:38:09,0.2522,Maternal Health Risk,Gaussian,,,0.7250
DWN,2025-01-28 01:38:09,0.2783,Glass Identification,Gaussian,,,0.6478
DWN,2025-01-28 01:38:09,0.3234,Maternal Health Risk,Distributive,,,0.7313
DWN,2025-01-28 01:38:09,0.2159,Maternal Health Risk,Gaussian,,,0.7464
DWN,2025-01-28 01:38:09,0.2109,Glass Identification,Gaussian,,,0.6627
DWN,2025-01-28 01:38:09,0.1915,Maternal Health Risk,Gaussian,,,0.7571
DWN,2025-01-28 01:38:09,0.1871,Glass Identification,Gaussian,,,0.6567
DWN,2025-01-28 01:40:10,89.9533,MNIST,Distributive,,,0.9585
DWN,2025-01-28 01:40:11,89.9216,MNIST,Distributive,,,0.9563
DWN,2025-01-28 01:41:40,89.8821,MNIST,Distributive,,,0.9690
DWN,2025-01-28 01:41:41,89.9061,MNIST,Distributive,,,0.9659
